create_date,due_date,report_type,report_type_full,report_year,update_date
2024-09-12,2024-07-18,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-07-18,12PR,,2024,2024-09-12
2024-01-01,2024-07-15,Q2,JULY QUARTERLY,2024,2024-01-01
2024-09-12,2024-07-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-07-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-07-11,30SG,,2024,2024-09-12
2024-09-12,2024-07-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-07-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-07-08,30CAU,,2024,2024-09-12
2024-09-12,2024-07-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-07-04,12SP,,2024,2024-09-12
2024-09-12,2024-06-22,30CAU,,2024,2024-09-12
2024-01-01,2024-06-20,M6,JUNE MONTHLY,2024,2024-01-01
2024-09-12,2024-06-20,30SGR,,2024,2024-09-12
2024-09-12,2024-06-17,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-06-13,12SG,,2024,2024-09-12
2024-09-12,2024-06-13,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-13,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-13,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-13,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-13,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-13,12PR,,2024,2024-09-12
2024-09-12,2024-06-06,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-06,12PR,,2024,2024-09-12
2024-09-12,2024-06-06,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-06,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-06-03,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-06-03,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-30,12SG,,2024,2024-09-12
2024-09-12,2024-05-30,30SG,,2024,2024-09-12
2024-09-12,2024-05-27,12CAU,,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-23,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-21,12P,PRE-PRIMARY,2024,2024-09-12
2024-01-01,2024-05-20,M5,MAY MONTHLY,2024,2024-01-01
2024-09-12,2024-05-16,12PR,,2024,2024-09-12
2024-09-12,2024-05-16,12PR,,2024,2024-09-12
2024-09-12,2024-05-13,30CAU,,2024,2024-09-12
2024-09-12,2024-05-11,12CAU,,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-09,12SGR,,2024,2024-09-12
2024-09-12,2024-05-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-05-02,12PR,,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-02,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-05-01,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-05-01,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-29,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-29,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-25,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-25,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-25,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-22,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-22,12C,PRE-CONVENTION,2024,2024-09-12
2024-01-01,2024-04-20,M4,APRIL MONTHLY,2024,2024-01-01
2024-09-12,2024-04-18,30SG,,2024,2024-09-12
2024-09-12,2024-04-18,12SG,,2024,2024-09-12
2024-09-12,2024-04-16,12P,PRE-PRIMARY,2024,2024-09-12
2024-01-01,2024-04-15,Q1,APRIL QUARTERLY,2024,2024-01-01
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-15,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-11,30CAU,,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-08,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-05,30CAU,,2024,2024-09-12
2024-09-12,2024-04-04,30CAU,,2024,2024-09-12
2024-09-12,2024-04-04,30CAU,,2024,2024-09-12
2024-09-12,2024-04-04,30CAU,,2024,2024-09-12
2024-09-12,2024-04-04,12PR,,2024,2024-09-12
2024-09-12,2024-04-03,30CAU,,2024,2024-09-12
2024-09-12,2024-04-02,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-01,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-04-01,30CAU,,2024,2024-09-12
2024-09-12,2024-04-01,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-01,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-01,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-04-01,12CAU,,2024,2024-09-12
2024-09-12,2024-04-01,30CAU,,2024,2024-09-12
2024-09-12,2024-03-25,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-21,12PR,,2024,2024-09-12
2024-09-12,2024-03-21,12PR,,2024,2024-09-12
2024-09-12,2024-03-21,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-21,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-21,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-21,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-21,12PR,,2024,2024-09-12
2024-01-01,2024-03-20,M3,MARCH MONTHLY,2024,2024-01-01
2024-09-12,2024-03-14,30SG,,2024,2024-09-12
2024-09-12,2024-03-11,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-03-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-11,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-03-11,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-03-11,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-03-09,30CAU,,2024,2024-09-12
2024-09-12,2024-03-09,30CAU,,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-03-07,12SG,,2024,2024-09-12
2024-09-12,2024-03-07,12SP,,2024,2024-09-12
2024-09-12,2024-03-04,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-03-04,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-29,12CAU,,2024,2024-09-12
2024-09-12,2024-02-23,12CAU,,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12CAU,,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12SP,,2024,2024-09-12
2024-09-12,2024-02-22,12CAU,,2024,2024-09-12
2024-09-12,2024-02-22,12CAU,,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-21,12CAU,,2024,2024-09-12
2024-01-01,2024-02-20,M2,FEBRUARY MONTHLY,2024,2024-01-01
2024-09-12,2024-02-19,12CAU,,2024,2024-09-12
2024-09-12,2024-02-19,12CAU,,2024,2024-09-12
2024-09-12,2024-02-19,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-02-19,12C,PRE-CONVENTION,2024,2024-09-12
2024-09-12,2024-02-15,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-14,30CAU,,2024,2024-09-12
2024-09-12,2024-02-12,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-02-01,12SG,,2024,2024-09-12
2023-01-01,2024-01-31,YE,YEAR-END,2023,2023-01-01
2024-09-12,2024-01-27,12CAU,,2024,2024-09-12
2024-09-12,2024-01-27,12CAU,,2024,2024-09-12
2024-09-12,2024-01-25,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-01-22,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-01-11,12P,PRE-PRIMARY,2024,2024-09-12
2024-09-12,2024-01-03,12CAU,,2024,2024-09-12
2024-09-12,2023-12-21,30SG,,2023,2024-09-12
2023-01-01,2023-12-20,M12,DECEMBER MONTHLY,2023,2023-01-01
2024-09-12,2023-12-07,30SG,,2023,2024-09-12
2023-01-01,2023-11-20,M11,NOVEMBER MONTHLY,2023,2023-01-01
2024-09-12,2023-11-09,12SG,,2023,2024-09-12
2024-09-12,2023-10-26,12SG,,2023,2024-09-12
2023-01-01,2023-10-20,M10,OCTOBER MONTHLY,2023,2023-01-01
2023-01-01,2023-10-15,Q3,OCTOBER QUARTERLY,2023,2023-01-01
2023-01-01,2023-09-20,M9,SEPTEMBER MONTHLY,2023,2023-01-01
2024-09-12,2023-08-24,12SP,,2023,2024-09-12
2024-09-12,2023-08-24,12SP,,2023,2024-09-12
2023-01-01,2023-08-20,M8,AUGUST MONTHLY,2023,2023-01-01
2023-01-01,2023-07-31,MY,MID-YEAR REPORT,2023,2023-01-01
2023-01-01,2023-07-20,M7,JULY MONTHLY,2023,2023-01-01
2023-01-01,2023-07-15,Q2,JULY QUARTERLY,2023,2023-01-01
2023-01-01,2023-06-20,M6,JUNE MONTHLY,2023,2023-01-01
2023-01-01,2023-05-20,M5,MAY MONTHLY,2023,2023-01-01
2023-01-01,2023-04-20,M4,APRIL MONTHLY,2023,2023-01-01
2023-01-01,2023-04-15,Q1,APRIL QUARTERLY,2023,2023-01-01
2024-09-12,2023-03-23,30SG,,2023,2024-09-12
2023-01-01,2023-03-20,M3,MARCH MONTHLY,2023,2023-01-01
2023-01-01,2023-02-20,M2,FEBRUARY MONTHLY,2023,2023-01-01
2024-09-12,2023-02-09,12SG,,2023,2024-09-12
2022-01-01,2023-01-31,YE,YEAR-END,2022,2022-01-01
2024-09-12,2023-01-09,30GR,,2022,2024-09-12
2024-09-12,2023-01-09,30GR,,2022,2024-09-12
2024-09-12,2023-01-05,30GR,,2022,2024-09-12
2024-09-12,2023-01-05,30GR,,2022,2024-09-12
2024-09-12,2022-12-22,30GR,,2022,2024-09-12
2024-09-12,2022-12-22,30GR,,2022,2024-09-12
2022-01-01,2022-12-20,M12,DECEMBER MONTHLY,2022,2022-01-01
2024-09-12,2022-12-08,30SG,,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
2024-09-12,2022-12-08,30G,POST-GENERAL,2022,2024-09-12
