congress,latestAction,number,purpose,type,updateDate,url,description
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1195,,HAMDT,2024-09-19T08:09:11Z,https://api.congress.gov/v3/amendment/118/hamdt/1195?format=json,"Pursuant to the provisions of H.Res. 1455, the amendment in the nature of a substitute recommended by the Committee on Ways and Means is considered adopted."
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1194,,HAMDT,2024-09-19T08:09:11Z,https://api.congress.gov/v3/amendment/118/hamdt/1194?format=json,"Pursuant to the provisions of H. Res. 1455, in lieu of the amendment in the nature of a substitute recommended by the Committee on Education and the Workforce now printed in the bill, an amendment in the nature of a substitute consisting of the text of Rules Committee Print 118-50 is considered adopted."
118,,3285,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3285?format=json,
118,,3287,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3287?format=json,
118,,3286,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3286?format=json,
118,,3283,,SAMDT,2024-09-18T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3283?format=json,
118,,3284,,SAMDT,2024-09-18T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3284?format=json,
118,,3279,,SAMDT,2024-09-17T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3279?format=json,
118,,3278,,SAMDT,2024-09-17T11:08:18Z,https://api.congress.gov/v3/amendment/118/samdt/3278?format=json,
118,,3280,,SAMDT,2024-09-17T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3280?format=json,
118,,3282,,SAMDT,2024-09-17T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3282?format=json,
118,,3277,,SAMDT,2024-09-17T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3277?format=json,
118,,3281,,SAMDT,2024-09-17T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3281?format=json,
118,"{'actionDate': '2024-09-12', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1193,,HAMDT,2024-09-13T13:28:22Z,https://api.congress.gov/v3/amendment/118/hamdt/1193?format=json,"Pursuant to the provisions of H. Res. 1430, the amendment in the nature of a substitute recommended by the Committee on Ways and Means now printed in the bill is considered as adopted."
118,,3268,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3268?format=json,
118,,3270,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3270?format=json,
118,,3269,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3269?format=json,
118,,3273,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3273?format=json,
118,,3266,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3266?format=json,
118,,3275,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3275?format=json,
118,,3267,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3267?format=json,
118,,3274,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3274?format=json,
118,,3271,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3271?format=json,
118,,3272,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3272?format=json,
118,,3276,,SAMDT,2024-09-13T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3276?format=json,
118,"{'actionDate': '2024-09-11', 'actionTime': '16:50:30', 'text': 'On agreeing to the Ogles amendment (A001) Agreed to by recorded vote: 403 - 0 (Roll no. 409).'}",1190,,HAMDT,2024-09-12T12:57:30Z,https://api.congress.gov/v3/amendment/118/hamdt/1190?format=json,An amendment numbered 1 printed in Part B of House Report 118-656 to offer a statement of policy in support of Taiwan's full participation at the World Health Organization.
118,"{'actionDate': '2024-09-11', 'actionTime': '14:29:40', 'text': 'On agreeing to the Massie amendment (A003) Agreed to by voice vote.'}",1192,,HAMDT,2024-09-12T13:01:46Z,https://api.congress.gov/v3/amendment/118/hamdt/1192?format=json,An amendment numbered 3 printed in Part B of House Report 118-656 to add to the findings of Congress an outline of the constitutional role for the legislative and executive branches in the treaty-making process.
118,"{'actionDate': '2024-09-11', 'actionTime': '14:22:16', 'text': 'On agreeing to the Foxx amendment (A002) Agreed to by voice vote.'}",1191,,HAMDT,2024-09-12T12:58:26Z,https://api.congress.gov/v3/amendment/118/hamdt/1191?format=json,"An amendment numbered 2 printed in Part B of House Report 118-656 to clarify that no WHO convention, agreement, or treaty should have force or effect in U.S. law before or unless the Senate ratifies said treaty."
118,,3253,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3253?format=json,
118,,3254,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3254?format=json,
118,,3256,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3256?format=json,
118,,3246,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3246?format=json,
118,,3259,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3259?format=json,
118,,3258,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3258?format=json,
118,,3264,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3264?format=json,
118,,3263,,SAMDT,2024-09-16T20:10:21Z,https://api.congress.gov/v3/amendment/118/samdt/3263?format=json,
118,,3265,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3265?format=json,
118,,3260,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3260?format=json,
118,,3257,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3257?format=json,
118,,3261,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3261?format=json,
118,,3262,,SAMDT,2024-09-12T16:13:14Z,https://api.congress.gov/v3/amendment/118/samdt/3262?format=json,
118,,3251,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3251?format=json,
118,,3255,,SAMDT,2024-09-12T11:08:20Z,https://api.congress.gov/v3/amendment/118/samdt/3255?format=json,
118,,3247,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3247?format=json,
118,,3244,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3244?format=json,
118,,3252,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3252?format=json,
118,,3245,,SAMDT,2024-09-12T11:08:21Z,https://api.congress.gov/v3/amendment/118/samdt/3245?format=json,
118,,3249,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3249?format=json,
118,,3248,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3248?format=json,
118,,3250,,SAMDT,2024-09-12T11:08:22Z,https://api.congress.gov/v3/amendment/118/samdt/3250?format=json,
118,"{'actionDate': '2024-09-10', 'actionTime': '17:53:50', 'text': 'On agreeing to the Mills amendment (A006) Agreed to by voice vote.'}",1189,,HAMDT,2024-09-11T16:08:06Z,https://api.congress.gov/v3/amendment/118/hamdt/1189?format=json,An amendment numbered 6 printed in Part A of House Report 118-656 to require the CCP Initiative to investigate investments made by Chinese companies and subsidiaries listed on the Bureau of Industry and Security's Entity List and the DOD's PRC Military Companies list.
118,"{'actionDate': '2024-09-10', 'actionTime': '17:47:25', 'text': 'On agreeing to the Mills amendment (A005) Agreed to by voice vote.'}",1188,,HAMDT,2024-09-11T16:06:43Z,https://api.congress.gov/v3/amendment/118/hamdt/1188?format=json,An amendment numbered 5 printed in Part A of House Report 118-656 to include an analysis of national security risks on CCP unmanned aircraft and associated elements in the national airspace system.
118,"{'actionDate': '2024-09-10', 'actionTime': '17:42:05', 'text': 'On agreeing to the Molinaro amendment (A004) Agreed to by voice vote.'}",1187,,HAMDT,2024-09-11T16:05:39Z,https://api.congress.gov/v3/amendment/118/hamdt/1187?format=json,An amendment numbered 4 printed in Part A of House Report 118-656 to add to section 2 a requirement to identify intellectual property theft of small businesses by the Chinese Communist Party.
118,"{'actionDate': '2024-09-10', 'actionTime': '17:38:41', 'text': 'On agreeing to the Molinaro amendment (A003) Agreed to by voice vote.'}",1186,,HAMDT,2024-09-11T16:01:30Z,https://api.congress.gov/v3/amendment/118/hamdt/1186?format=json,An amendment numbered 3 printed in Part A of House Report 118-656 to add to the annual report an assessment on the economic loss to the United States as a result of hacking and trade secret theft by the Chinese Communist Party.
118,"{'actionDate': '2024-09-10', 'actionTime': '17:34:24', 'text': 'On agreeing to the Gottheimer amendment (A002) Agreed to by voice vote.'}",1185,,HAMDT,2024-09-11T15:59:21Z,https://api.congress.gov/v3/amendment/118/hamdt/1185?format=json,An amendment numbered 2 printed in Part A of House Report 118-656 to amend the bill's report requirement to include information about CCP's financial intelligence capabilities.
118,"{'actionDate': '2024-09-10', 'actionTime': '17:30:50', 'text': 'On agreeing to the Gottheimer amendment (A001) Agreed to by voice vote.'}",1184,,HAMDT,2024-09-11T15:57:32Z,https://api.congress.gov/v3/amendment/118/hamdt/1184?format=json,An amendment numbered 1 printed in Part A of House Report 118-656 to amend the bill's report requirement to include information about public and private sector cooperation.
118,"{'actionDate': '2024-09-10', 'actionTime': '16:29:47', 'text': 'On agreeing to the Cline amendment (A004) Agreed to by recorded vote: 253 - 151 (Roll no. 406).'}",1181,An amendment numbered 4 printed in Part C of House Report 118-656 to require the Secretary of Homeland Security to report to Congress any institution of higher education that has a relationship with a Confucius Institute or Chinese entity of concern and receives funds from the Department of Homeland Security.,HAMDT,2024-09-12T08:09:13Z,https://api.congress.gov/v3/amendment/118/hamdt/1181?format=json,An amendment numbered 4 printed in Part C of House Report 118-656 to require the Secretary of Homeland Security to report to Congress any institution of higher education that has a relationship with a Confucius Institute or Chinese entity of concern and receives funds from the Department of Homeland Security.
118,"{'actionDate': '2024-09-10', 'actionTime': '15:23:23', 'text': 'On agreeing to the Nunn (IA) amendment (A006) Agreed to by voice vote.'}",1183,,HAMDT,2024-09-11T15:36:13Z,https://api.congress.gov/v3/amendment/118/hamdt/1183?format=json,"An amendment numbered 6 printed in Part C of House Report 118-656 to add the Thousand Talents Program to the list of restricted, ""Chinese Entities of Concern.""."
118,"{'actionDate': '2024-09-10', 'actionTime': '15:19:54', 'text': 'On agreeing to the Cline amendment (A005) Agreed to by voice vote.'}",1182,,HAMDT,2024-09-11T15:32:51Z,https://api.congress.gov/v3/amendment/118/hamdt/1182?format=json,"An amendment numbered 5 printed in Part C of House Report 118-656 to add the Chinese Academy of Sciences to the bill's definition of a ""Chinese entity of concern.""."
118,"{'actionDate': '2024-09-10', 'actionTime': '15:08:17', 'text': 'On agreeing to the Crockett amendment (A003) Agreed to by voice vote.'}",1180,,HAMDT,2024-09-11T15:39:05Z,https://api.congress.gov/v3/amendment/118/hamdt/1180?format=json,"An amendment numbered 3 printed in Part C of House Report 118-656 to add engaging in efforts to interfere in U.S. federal, state, and local elections to List of Qualifications for ""Entities of Concern.""."
118,"{'actionDate': '2024-09-10', 'actionTime': '15:00:46', 'text': 'On agreeing to the Stauber amendment (A002) Agreed to by voice vote.'}",1179,,HAMDT,2024-09-11T15:28:11Z,https://api.congress.gov/v3/amendment/118/hamdt/1179?format=json,"An amendment numbered 2 printed in Part C of House Report 118-656 to amend the definition of ""Chinese entities of concern"" in section 2 to include ""aides, abets, or enables the detention, imprisonment, persecution, or forced labor of Uyghur Muslims.""."
118,"{'actionDate': '2024-09-10', 'actionTime': '14:56:08', 'text': 'On agreeing to the Gottheimer amendment (A001) Agreed to by voice vote.'}",1178,,HAMDT,2024-09-11T15:24:52Z,https://api.congress.gov/v3/amendment/118/hamdt/1178?format=json,"An amendment numbered 1 printed in Part C of House Report 118-656 to add the Delegitimization of U.S.-Taiwan Relations to List of Qualifications for ""Entities of Concern.""."
118,,3239,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3239?format=json,
118,,3243,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3243?format=json,
118,,3242,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3242?format=json,
118,,3237,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3237?format=json,
118,,3240,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3240?format=json,
118,,3238,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3238?format=json,
118,,3241,,SAMDT,2024-09-11T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3241?format=json,
118,"{'actionDate': '2024-08-01', 'text': 'Amendment SA 3224 agreed to in Senate by Unanimous Consent.'}",3224,In the nature of a substitute.,SAMDT,2024-08-03T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3224?format=json,
118,,3221,,SAMDT,2024-08-01T16:36:28Z,https://api.congress.gov/v3/amendment/118/samdt/3221?format=json,
118,,3220,,SAMDT,2024-08-01T16:36:20Z,https://api.congress.gov/v3/amendment/118/samdt/3220?format=json,
118,,3225,,SAMDT,2024-08-01T18:12:48Z,https://api.congress.gov/v3/amendment/118/samdt/3225?format=json,
118,,3219,,SAMDT,2024-08-01T16:36:08Z,https://api.congress.gov/v3/amendment/118/samdt/3219?format=json,
118,,3233,,SAMDT,2024-08-01T19:48:51Z,https://api.congress.gov/v3/amendment/118/samdt/3233?format=json,
118,,3222,,SAMDT,2024-08-01T16:36:39Z,https://api.congress.gov/v3/amendment/118/samdt/3222?format=json,
118,,3235,,SAMDT,2024-08-01T21:00:35Z,https://api.congress.gov/v3/amendment/118/samdt/3235?format=json,
118,,3223,,SAMDT,2024-08-01T17:19:57Z,https://api.congress.gov/v3/amendment/118/samdt/3223?format=json,
118,,3231,,SAMDT,2024-08-01T19:48:24Z,https://api.congress.gov/v3/amendment/118/samdt/3231?format=json,
118,,3228,,SAMDT,2024-08-01T19:47:27Z,https://api.congress.gov/v3/amendment/118/samdt/3228?format=json,
118,,3236,,SAMDT,2024-08-01T21:09:16Z,https://api.congress.gov/v3/amendment/118/samdt/3236?format=json,
118,,3229,,SAMDT,2024-08-01T19:47:50Z,https://api.congress.gov/v3/amendment/118/samdt/3229?format=json,
118,,3217,,SAMDT,2024-08-01T15:58:37Z,https://api.congress.gov/v3/amendment/118/samdt/3217?format=json,
118,,3218,,SAMDT,2024-08-01T15:58:52Z,https://api.congress.gov/v3/amendment/118/samdt/3218?format=json,
118,,3216,,SAMDT,2024-08-01T15:14:53Z,https://api.congress.gov/v3/amendment/118/samdt/3216?format=json,
118,,3227,,SAMDT,2024-08-01T19:47:18Z,https://api.congress.gov/v3/amendment/118/samdt/3227?format=json,
118,,3226,,SAMDT,2024-08-01T19:46:35Z,https://api.congress.gov/v3/amendment/118/samdt/3226?format=json,
118,,3232,,SAMDT,2024-08-01T19:48:37Z,https://api.congress.gov/v3/amendment/118/samdt/3232?format=json,
118,,3234,,SAMDT,2024-09-11T18:59:59Z,https://api.congress.gov/v3/amendment/118/samdt/3234?format=json,
118,,3230,,SAMDT,2024-08-01T19:48:00Z,https://api.congress.gov/v3/amendment/118/samdt/3230?format=json,
118,"{'actionDate': '2024-07-31', 'text': 'Amendment SA 3215 agreed to in Senate by Unanimous Consent.'}",3215,To improve the bill.,SAMDT,2024-08-02T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3215?format=json,
118,,3208,,SAMDT,2024-07-31T16:20:21Z,https://api.congress.gov/v3/amendment/118/samdt/3208?format=json,
118,,3214,,SAMDT,2024-07-31T19:56:45Z,https://api.congress.gov/v3/amendment/118/samdt/3214?format=json,
118,,3209,,SAMDT,2024-07-31T18:07:44Z,https://api.congress.gov/v3/amendment/118/samdt/3209?format=json,
118,,3211,,SAMDT,2024-07-31T18:34:13Z,https://api.congress.gov/v3/amendment/118/samdt/3211?format=json,
118,,3210,,SAMDT,2024-08-13T16:02:54Z,https://api.congress.gov/v3/amendment/118/samdt/3210?format=json,
118,,3207,,SAMDT,2024-07-31T15:45:52Z,https://api.congress.gov/v3/amendment/118/samdt/3207?format=json,
118,,3213,,SAMDT,2024-07-31T19:56:29Z,https://api.congress.gov/v3/amendment/118/samdt/3213?format=json,
118,,3212,,SAMDT,2024-07-31T18:34:22Z,https://api.congress.gov/v3/amendment/118/samdt/3212?format=json,
118,"{'actionDate': '2024-07-30', 'text': 'Amendment SA 3201 agreed to in Senate by Unanimous Consent.'}",3201,In the nature of a substitute.,SAMDT,2024-08-01T11:08:19Z,https://api.congress.gov/v3/amendment/118/samdt/3201?format=json,
118,"{'actionDate': '2024-07-30', 'text': 'Amendment SA 3021 agreed to in Senate by Yea-Nay Vote. 91 - 3. Record Vote Number: 221.'}",3021,In the nature of a substitute.,SAMDT,2024-07-31T15:06:45Z,https://api.congress.gov/v3/amendment/118/samdt/3021?format=json,
118,"{'actionDate': '2024-07-30', 'text': 'Proposed amendment SA 3022 withdrawn in Senate.'}",3022,To add an effective date.,SAMDT,2024-07-30T15:50:59Z,https://api.congress.gov/v3/amendment/118/samdt/3022?format=json,
118,,3195,,SAMDT,2024-07-30T16:54:09Z,https://api.congress.gov/v3/amendment/118/samdt/3195?format=json,
118,,3200,,SAMDT,2024-07-30T19:17:25Z,https://api.congress.gov/v3/amendment/118/samdt/3200?format=json,
118,,3198,,SAMDT,2024-07-30T19:17:00Z,https://api.congress.gov/v3/amendment/118/samdt/3198?format=json,
118,,3196,,SAMDT,2024-07-30T20:57:58Z,https://api.congress.gov/v3/amendment/118/samdt/3196?format=json,
118,,3197,,SAMDT,2024-07-30T23:13:27Z,https://api.congress.gov/v3/amendment/118/samdt/3197?format=json,
118,,3199,,SAMDT,2024-07-30T19:17:13Z,https://api.congress.gov/v3/amendment/118/samdt/3199?format=json,
118,,3205,,SAMDT,2024-07-30T22:44:20Z,https://api.congress.gov/v3/amendment/118/samdt/3205?format=json,
118,,3203,,SAMDT,2024-07-30T22:11:30Z,https://api.congress.gov/v3/amendment/118/samdt/3203?format=json,
118,,3206,,SAMDT,2024-07-30T22:44:31Z,https://api.congress.gov/v3/amendment/118/samdt/3206?format=json,
118,,3204,,SAMDT,2024-07-30T22:39:43Z,https://api.congress.gov/v3/amendment/118/samdt/3204?format=json,
118,,3202,,SAMDT,2024-07-30T21:44:05Z,https://api.congress.gov/v3/amendment/118/samdt/3202?format=json,
118,,3184,,SAMDT,2024-07-29T20:49:13Z,https://api.congress.gov/v3/amendment/118/samdt/3184?format=json,
